LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Sep,16,09:49:02,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
2,Sep,16,10:09:01,internpc,CRON,7423.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
3,Sep,16,10:09:01,internpc,CRON,7423.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
4,Sep,16,10:17:01,internpc,CRON,7494.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
5,Sep,16,10:17:01,internpc,CRON,7494.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
6,Sep,16,10:39:01,internpc,CRON,8342.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
7,Sep,16,10:39:01,internpc,CRON,8342.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
8,Sep,16,11:09:01,internpc,CRON,9354.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
9,Sep,16,11:09:01,internpc,CRON,9354.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
10,Sep,16,11:17:01,internpc,CRON,9674.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
11,Sep,16,11:17:01,internpc,CRON,9674.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
12,Sep,16,11:39:01,internpc,CRON,10670.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
13,Sep,16,11:39:01,internpc,CRON,10670.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
14,Sep,16,11:44:05,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
15,Sep,16,12:09:01,internpc,CRON,11177.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
16,Sep,16,12:09:01,internpc,CRON,11177.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
17,Sep,16,12:17:01,internpc,CRON,11265.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
18,Sep,16,12:17:01,internpc,CRON,11265.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
19,Sep,16,12:39:01,internpc,CRON,11321.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
20,Sep,16,12:39:01,internpc,CRON,11321.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
21,Sep,16,12:51:26,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
22,Sep,16,12:54:51,internpc,gnome-keyring-daemon,3948.0,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
23,Sep,16,12:54:51,internpc,gnome-keyring-daemon,3948.0,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
24,Sep,16,12:55:15,internpc,dbus-daemon,1310.0,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
25,Sep,16,13:09:01,internpc,CRON,12794.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
26,Sep,16,13:09:01,internpc,CRON,12794.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
27,Sep,16,13:17:01,internpc,CRON,13116.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
28,Sep,16,13:17:01,internpc,CRON,13116.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
29,Sep,16,13:39:01,internpc,CRON,13975.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
30,Sep,16,13:39:01,internpc,CRON,13975.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
31,Sep,16,14:09:01,internpc,CRON,15702.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
32,Sep,16,14:09:01,internpc,CRON,15702.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
33,Sep,16,14:17:01,internpc,CRON,17097.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
34,Sep,16,14:17:01,internpc,CRON,17097.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
35,Sep,16,14:39:01,internpc,CRON,17886.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
36,Sep,16,14:39:01,internpc,CRON,17886.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
37,Sep,16,14:43:56,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
38,Sep,16,15:09:01,internpc,CRON,19170.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
39,Sep,16,15:09:01,internpc,CRON,19170.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
40,Sep,16,15:17:01,internpc,CRON,19629.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
41,Sep,16,15:17:01,internpc,CRON,19629.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
42,Sep,16,15:31:56,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
43,Sep,16,15:39:01,internpc,CRON,21106.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
44,Sep,16,15:39:01,internpc,CRON,21106.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
45,Sep,16,16:09:01,internpc,CRON,22071.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
46,Sep,16,16:09:01,internpc,CRON,22071.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
47,Sep,16,16:10:45,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
48,Sep,16,16:17:01,internpc,CRON,22454.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
49,Sep,16,16:17:01,internpc,CRON,22454.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
50,Sep,16,16:39:01,internpc,CRON,25487.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
51,Sep,16,16:39:01,internpc,CRON,25487.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
52,Sep,16,17:09:01,internpc,CRON,26752.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
53,Sep,16,17:09:01,internpc,CRON,26752.0,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
54,Sep,16,17:17:01,internpc,CRON,27013.0,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
