LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Sep,24,09:58:16,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
2,Sep,24,09:59:22,internpc,gnome-keyring-daemon,3875,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
3,Sep,24,09:59:22,internpc,gnome-keyring-daemon,3875,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
4,Sep,24,09:59:46,internpc,dbus-daemon,1225,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
5,Sep,24,10:09:01,internpc,CRON,9249,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
6,Sep,24,10:09:01,internpc,CRON,9249,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
7,Sep,24,10:17:01,internpc,CRON,9614,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
8,Sep,24,10:17:01,internpc,CRON,9614,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
9,Sep,24,10:39:01,internpc,CRON,11248,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
10,Sep,24,10:39:01,internpc,CRON,11248,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
11,Sep,24,11:09:01,internpc,CRON,13477,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
12,Sep,24,11:09:01,internpc,CRON,13477,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
13,Sep,24,11:17:01,internpc,CRON,13951,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
14,Sep,24,11:17:01,internpc,CRON,13951,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
15,Sep,24,11:36:28,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
16,Sep,24,11:39:01,internpc,CRON,14887,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
17,Sep,24,11:39:01,internpc,CRON,14887,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
18,Sep,24,12:09:01,internpc,CRON,16027,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
19,Sep,24,12:09:01,internpc,CRON,16027,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
20,Sep,24,12:17:01,internpc,CRON,16271,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
21,Sep,24,12:17:01,internpc,CRON,16271,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
22,Sep,24,12:39:01,internpc,CRON,16653,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
23,Sep,24,12:39:01,internpc,CRON,16653,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
24,Sep,24,12:44:23,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
25,Sep,24,12:58:42,internpc,dbus-daemon,1225,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
26,Sep,24,12:59:48,internpc,systemd-logind,1384,System is powering down.,7aef767d,System is powering down.
27,Sep,24,13:03:44,internpc,systemd-logind,1334,New seat seat0.,835560a8,New seat seat0.
28,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event3 (Power Button),3bf8ba4b,Watching system buttons on   
29,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event0 (Power Button),3bf8ba4b,Watching system buttons on   
30,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event2 (Lid Switch),3bf8ba4b,Watching system buttons on   
31,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event1 (Sleep Button),3bf8ba4b,Watching system buttons on   
32,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event7 (Logitech USB Receiver),d069e105,Watching system buttons on /dev/input/event7 (Logitech USB Receiver)
33,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event9 (Logitech USB Receiver Consumer Control),f12e6680,Watching system buttons on      
34,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event10 (Logitech USB Receiver System Control),f12e6680,Watching system buttons on      
35,Sep,24,13:03:44,internpc,systemd-logind,1334,Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard),f12e6680,Watching system buttons on      
36,Sep,24,13:03:45,internpc,gdm-launch-environment],,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0),bb6b9e55,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0)
37,Sep,24,13:03:45,internpc,systemd-logind,1334,New session c1 of user gdm.,7c473141,New session  of user 
38,Sep,24,13:03:45,internpc,systemd,,pam_unix(systemd-user:session): session opened for user gdm by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
39,Sep,24,13:03:47,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:c1 (system bus name :1.25 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
40,Sep,24,13:03:54,internpc,gdm-password],,pam_unix(gdm-password:session): session opened for user intern by (uid=0),65359baa,pam_unix(gdm-password:session): session opened for user intern by (uid=0)
41,Sep,24,13:03:54,internpc,systemd-logind,1334,New session 2 of user intern.,7c473141,New session  of user 
42,Sep,24,13:03:54,internpc,systemd,,pam_unix(systemd-user:session): session opened for user intern by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
43,Sep,24,13:04:00,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:2 (system bus name :1.83 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
44,Sep,24,13:04:12,internpc,dbus-daemon,1430,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
45,Sep,24,13:05:04,internpc,pkexec,,pam_unix(polkit-1:session): session opened for user root by (uid=1000),a4e5952b,pam_unix(polkit-1:session): session opened for user root by (uid=1000)
46,Sep,24,13:05:04,internpc,pkexec,4232,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked],5de9616b,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked]
47,Sep,24,13:09:01,internpc,CRON,5236,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
48,Sep,24,13:09:01,internpc,CRON,5236,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
49,Sep,24,13:17:01,internpc,CRON,5495,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
50,Sep,24,13:17:01,internpc,CRON,5495,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
51,Sep,24,13:39:01,internpc,CRON,6344,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
52,Sep,24,13:39:01,internpc,CRON,6344,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
53,Sep,24,13:46:58,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
54,Sep,24,14:09:01,internpc,CRON,9360,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
55,Sep,24,14:09:01,internpc,CRON,9360,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
56,Sep,24,14:17:01,internpc,CRON,9494,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
57,Sep,24,14:17:01,internpc,CRON,9494,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
58,Sep,24,14:36:46,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
59,Sep,24,14:39:01,internpc,CRON,9687,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
60,Sep,24,14:39:01,internpc,CRON,9687,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
61,Sep,24,14:45:52,internpc,systemd-logind,1334,System is powering down.,7aef767d,System is powering down.
62,Sep,24,14:58:29,internpc,systemd-logind,1340,New seat seat0.,835560a8,New seat seat0.
63,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event3 (Power Button),3bf8ba4b,Watching system buttons on   
64,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event0 (Power Button),3bf8ba4b,Watching system buttons on   
65,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event2 (Lid Switch),3bf8ba4b,Watching system buttons on   
66,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event1 (Sleep Button),3bf8ba4b,Watching system buttons on   
67,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event7 (Logitech USB Receiver),d069e105,Watching system buttons on /dev/input/event7 (Logitech USB Receiver)
68,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event9 (Logitech USB Receiver Consumer Control),f12e6680,Watching system buttons on      
69,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event10 (Logitech USB Receiver System Control),f12e6680,Watching system buttons on      
70,Sep,24,14:58:29,internpc,systemd-logind,1340,Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard),f12e6680,Watching system buttons on      
71,Sep,24,14:58:30,internpc,gdm-launch-environment],,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0),bb6b9e55,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0)
72,Sep,24,14:58:30,internpc,systemd-logind,1340,New session c1 of user gdm.,7c473141,New session  of user 
73,Sep,24,14:58:30,internpc,systemd,,pam_unix(systemd-user:session): session opened for user gdm by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
74,Sep,24,14:58:32,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:c1 (system bus name :1.25 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
75,Sep,24,14:58:39,internpc,gdm-password],,pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty1 ruser= rhost=  user=intern,79b76dc6,pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0  ruser= rhost= user=intern
76,Sep,24,14:58:47,internpc,gdm-password],,pam_unix(gdm-password:session): session opened for user intern by (uid=0),65359baa,pam_unix(gdm-password:session): session opened for user intern by (uid=0)
77,Sep,24,14:58:47,internpc,systemd-logind,1340,New session 2 of user intern.,7c473141,New session  of user 
78,Sep,24,14:58:47,internpc,systemd,,pam_unix(systemd-user:session): session opened for user intern by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
79,Sep,24,14:58:54,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:2 (system bus name :1.79 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
80,Sep,24,14:58:57,internpc,dbus-daemon,1373,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
81,Sep,24,14:59:58,internpc,pkexec,,pam_unix(polkit-1:session): session opened for user root by (uid=1000),a4e5952b,pam_unix(polkit-1:session): session opened for user root by (uid=1000)
82,Sep,24,14:59:58,internpc,pkexec,4249,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked],5de9616b,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked]
83,Sep,24,15:09:01,internpc,CRON,5132,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
84,Sep,24,15:09:01,internpc,CRON,5132,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
85,Sep,24,15:11:46,internpc,gnome-keyring-daemon,3331,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
86,Sep,24,15:11:46,internpc,gnome-keyring-daemon,3331,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",4a29d288,"asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered"
87,Sep,24,15:12:10,internpc,dbus-daemon,1373,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
88,Sep,24,15:17:01,internpc,CRON,6749,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
89,Sep,24,15:17:01,internpc,CRON,6749,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
90,Sep,24,15:39:01,internpc,CRON,8273,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
91,Sep,24,15:39:01,internpc,CRON,8273,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
92,Sep,24,16:04:21,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
93,Sep,24,16:09:01,internpc,CRON,9786,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
94,Sep,24,16:09:01,internpc,CRON,9786,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
95,Sep,24,16:17:01,internpc,CRON,10185,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
96,Sep,24,16:17:01,internpc,CRON,10185,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
97,Sep,24,16:39:01,internpc,CRON,11991,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
98,Sep,24,16:39:01,internpc,CRON,11991,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
99,Sep,24,17:09:01,internpc,CRON,13343,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
100,Sep,24,17:09:01,internpc,CRON,13343,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
101,Sep,24,17:10:41,internpc,gdm-password],,gkr-pam: unlocked login keyring,93db07cc,gkr-pam: unlocked login keyring
102,Sep,24,17:17:01,internpc,CRON,13825,pam_unix(cron:session): session opened for user root by (uid=0),104ec55d,pam_unix(cron:session): session opened for user root by (uid=0)
103,Sep,24,17:17:01,internpc,CRON,13825,pam_unix(cron:session): session closed for user root,20fe0864,pam_unix(cron:session): session closed for user root
104,Sep,24,17:24:47,internpc,systemd-logind,1340,System is powering down.,7aef767d,System is powering down.
105,Sep,25,09:39:14,internpc,systemd-logind,1382,New seat seat0.,835560a8,New seat seat0.
106,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event3 (Power Button),3bf8ba4b,Watching system buttons on   
107,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event0 (Power Button),3bf8ba4b,Watching system buttons on   
108,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event2 (Lid Switch),3bf8ba4b,Watching system buttons on   
109,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event1 (Sleep Button),3bf8ba4b,Watching system buttons on   
110,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event7 (Logitech USB Receiver),d069e105,Watching system buttons on /dev/input/event7 (Logitech USB Receiver)
111,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event9 (Logitech USB Receiver Consumer Control),f12e6680,Watching system buttons on      
112,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event10 (Logitech USB Receiver System Control),f12e6680,Watching system buttons on      
113,Sep,25,09:39:14,internpc,systemd-logind,1382,Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard),f12e6680,Watching system buttons on      
114,Sep,25,09:39:16,internpc,gdm-launch-environment],,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0),bb6b9e55,pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0)
115,Sep,25,09:39:16,internpc,systemd-logind,1382,New session c1 of user gdm.,7c473141,New session  of user 
116,Sep,25,09:39:16,internpc,systemd,,pam_unix(systemd-user:session): session opened for user gdm by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
117,Sep,25,09:39:18,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:c1 (system bus name :1.25 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
118,Sep,25,09:39:26,internpc,gdm-password],,pam_unix(gdm-password:session): session opened for user intern by (uid=0),65359baa,pam_unix(gdm-password:session): session opened for user intern by (uid=0)
119,Sep,25,09:39:26,internpc,systemd-logind,1382,New session 2 of user intern.,7c473141,New session  of user 
120,Sep,25,09:39:26,internpc,systemd,,pam_unix(systemd-user:session): session opened for user intern by (uid=0),37ec3e93,pam_unix(systemd-user:session): session opened for user  by (uid=0)
121,Sep,25,09:39:32,internpc,polkitd(authority=local),,"Registered Authentication Agent for unix-session:2 (system bus name :1.80 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",57d21f6a,"Registered Authentication Agent for  (system bus name  [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)"
122,Sep,25,09:39:42,internpc,dbus-daemon,1313,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),cf39805e,[system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
123,Sep,25,09:40:36,internpc,pkexec,,pam_unix(polkit-1:session): session opened for user root by (uid=1000),a4e5952b,pam_unix(polkit-1:session): session opened for user root by (uid=1000)
124,Sep,25,09:40:36,internpc,pkexec,5638,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked],5de9616b,intern: Executing command [USER=root] [TTY=unknown] [CWD=/home/intern] [COMMAND=/usr/lib/update-notifier/package-system-locked]
125,Sep,25,10:03:57,internpc,sudo,,intern : TTY=pts/2 ; PWD=/home/intern ; USER=root ; COMMAND=/usr/bin/scp -r Desktop/ML/System log Detection/anomaly_log_key.pkl Desktop/ML/System log Detection/Deeplog Desktop/ML/System log Detection/history_3_1_ran7 Desktop/ML/System log Detection/Log3C-master Desktop/ML/System log Detection/loglizer-master Desktop/ML/System log Detection/logparser-master Desktop/ML/System log Detection/Model_Experiment Desktop/ML/System log Detection/__pycache__ Desktop/ML/System log Detection/System Log Analysis(Raw Version) Desktop/ML/System log Detection/Test_data for Parameter Detection Desktop/ML/System log Detection/Test for spark analysis newt@172.24.0.10:~/System\ log\ Detection/,a68eb709,intern : TTY=pts/2 ; PWD=/home/intern ; USER=root ; COMMAND=/usr/bin/scp -r Desktop/ML/System log Detection/anomaly_log_key.pkl Desktop/ML/System log Detection/Deeplog Desktop/ML/System log Detection/history_3_1_ran7 Desktop/ML/System log Detection/Log3C-master Desktop/ML/System log Detection/loglizer-master Desktop/ML/System log Detection/logparser-master Desktop/ML/System log Detection/Model_Experiment Desktop/ML/System log Detection/__pycache__ Desktop/ML/System log Detection/System Log Analysis(Raw Version) Desktop/ML/System log Detection/Test_data for Parameter Detection Desktop/ML/System log Detection/Test for spark analysis newt@<*>:~/System\ log\ Detection/
126,Sep,25,10:03:57,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
127,Sep,25,10:03:57,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
128,Sep,25,10:04:16,internpc,sudo,,intern : TTY=pts/2 ; PWD=/home/intern ; USER=root ; COMMAND=/usr/bin/scp -r Desktop/ML/System log Detection/anomaly_log_key.pkl Desktop/ML/System log Detection/Deeplog Desktop/ML/System log Detection/history_3_1_ran7 Desktop/ML/System log Detection/Log3C-master Desktop/ML/System log Detection/loglizer-master Desktop/ML/System log Detection/logparser-master Desktop/ML/System log Detection/Model_Experiment Desktop/ML/System log Detection/__pycache__ Desktop/ML/System log Detection/System Log Analysis(Raw Version) Desktop/ML/System log Detection/Test_data for Parameter Detection Desktop/ML/System log Detection/Test for spark analysis newt@172.24.0.10:~/System\ log\ Detection/,a68eb709,intern : TTY=pts/2 ; PWD=/home/intern ; USER=root ; COMMAND=/usr/bin/scp -r Desktop/ML/System log Detection/anomaly_log_key.pkl Desktop/ML/System log Detection/Deeplog Desktop/ML/System log Detection/history_3_1_ran7 Desktop/ML/System log Detection/Log3C-master Desktop/ML/System log Detection/loglizer-master Desktop/ML/System log Detection/logparser-master Desktop/ML/System log Detection/Model_Experiment Desktop/ML/System log Detection/__pycache__ Desktop/ML/System log Detection/System Log Analysis(Raw Version) Desktop/ML/System log Detection/Test_data for Parameter Detection Desktop/ML/System log Detection/Test for spark analysis newt@<*>:~/System\ log\ Detection/
129,Sep,25,10:04:16,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
130,Sep,25,10:04:16,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
