LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Sep,30,09:45:27,internpc,sudo,,intern : TTY=pts/2 ; PWD=/home/intern/Desktop/ML ; USER=root ; COMMAND=/usr/bin/scp -r data derby.log For test future research Log format Process metastore_db package.xml __pycache__ README.md Research Articles spark System log Detection venv Web Security Detection Webshell Detection XSS Detection ../repos/jsoc-machine-learning/,b25aa9c2,intern : TTY=pts/2 ; PWD=/home/intern/Desktop/ML ; USER=root ; COMMAND=/usr/bin/scp -r data derby.log For test future research Log format Process metastore_db package.xml __pycache__ README.md Research Articles spark System log Detection venv Web Security Detection Webshell Detection XSS Detection ../repos/jsoc-machine-learning/
2,Sep,30,09:45:27,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
3,Sep,30,09:46:29,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
4,Sep,30,09:50:20,internpc,sudo,,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML,dd31c09d,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML
5,Sep,30,09:50:20,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
6,Sep,30,09:50:20,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
7,Sep,30,09:52:45,internpc,sudo,,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git add --all,bc14afa3,intern : TTY=pts/1 ;  ; USER=root ; COMMAND=/usr/bin/git add --all
8,Sep,30,09:52:45,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
9,Sep,30,09:52:45,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
10,Sep,30,09:52:50,internpc,sudo,,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML,dd31c09d,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML
11,Sep,30,09:52:50,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
12,Sep,30,09:52:50,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
13,Sep,30,09:53:41,internpc,sudo,,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git push,0982e15a,intern : TTY=pts/1 ;  ; USER=root ; COMMAND=/usr/bin/git push
14,Sep,30,09:53:41,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
15,Sep,30,09:53:52,internpc,sudo,,pam_unix(sudo:session): session closed for user root,449b71b3,pam_unix(sudo:session): session closed for user root
16,Sep,30,09:59:35,internpc,sudo,,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning-2 ; USER=root ; COMMAND=/usr/bin/git push -u origin master,b4d486eb,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning-2 ; USER=root ; COMMAND=/usr/bin/git push -u origin master
17,Sep,30,09:59:35,internpc,sudo,,pam_unix(sudo:session): session opened for user root by (uid=0),1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0)
