EventId,EventTemplate,Occurrences
b25aa9c2,intern : TTY=pts/2 ; PWD=/home/intern/Desktop/ML ; USER=root ; COMMAND=/usr/bin/scp -r data derby.log For test future research Log format Process metastore_db package.xml __pycache__ README.md Research Articles spark System log Detection venv Web Security Detection Webshell Detection XSS Detection ../repos/jsoc-machine-learning/,1
1b3c4b91,pam_unix(sudo:session): session opened for user root by (uid=0),14
449b71b3,pam_unix(sudo:session): session closed for user root,14
dd31c09d,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML,2
bc14afa3,intern : TTY=pts/1 ;  ; USER=root ; COMMAND=/usr/bin/git add --all,2
0982e15a,intern : TTY=pts/1 ;  ; USER=root ; COMMAND=/usr/bin/git push,2
b4d486eb,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning-2 ; USER=root ; COMMAND=/usr/bin/git push -u origin master,2
974a6b04,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning-2 ; USER=root ; COMMAND=/usr/bin/git remote add origin git@bitbucket.org:Newt08/jsoc-machine-learning-2.git,1
5881a62c,intern : TTY=pts/2 ; PWD=/home/intern/Desktop/ML ; USER=root ; COMMAND=/usr/bin/scp -r ./System log Detection/Deeplog ../repos/jsoc-machine-learning-2/,2
25f745d5,intern : TTY=pts/1 ; PWD=/home/intern/Desktop/repos/jsoc-machine-learning-2 ; USER=root ; COMMAND=/usr/bin/git commit -m all files are added from ML/System log Detection,1
104ec55d,pam_unix(cron:session): session opened for user root by (uid=0),3
20fe0864,pam_unix(cron:session): session closed for user root,3
93db07cc,gkr-pam: unlocked login keyring,5
a1ef0b16,pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty2 ruser= rhost= user=intern,1
a8c0b0d3,pam_unix(sudo:auth): authentication failure; logname= uid=1000 euid=0 tty=/dev/pts/3 ruser=intern rhost= user=intern,1
97c19bb0,intern : TTY=pts/3 ; PWD=/home/intern/Desktop/ML/System log Detection/Deeplog/Dataset/Linux/Clear ; USER=root ; COMMAND=/bin/cp syslog syslog.1 syslog.2.gz syslog.3.gz syslog.4.gz syslog.5.gz syslog.6.gz syslog.7.gz /var/log/alternatives.log /var/log/alternatives.log.1 /var/log/alternatives.log.2.gz /var/log/apport.log /var/log/apport.log.1 /var/log/apport.log.2.gz /var/log/apport.log.3.gz /var/log/apport.log.4.gz /var/log/apport.log.5.gz /var/log/apport.log.6.gz /var/log/apport.log.7.gz /var/log/apt /var/log/auth.log /var/log/auth.log.1 /var/log/auth.log.2.gz /var/log/auth.log.3.gz /var/log/auth.log.4.gz /var/log/boot.log /var/log/bootstrap.log /var/log/btmp /var/log/btmp.1 /var/log/cups /var/log/dist-upgrade /var/log/dpkg.log /var/log/dpkg.log.1 /var/log/dpkg.log.2.gz /var/log/faillog /var/log/fontconfig.log /var/log/gdm3 /var/log/gpu-manager.log /var/log/gpu-manager-switch.log /var/log/hp /var/log/installer /var/log/journal /var/log/kern.log,1
2b420694,intern : (command continued) /var/log/kern.log.1 /var/log/kern.log.2.gz /var/log/kern.log.3.gz /var/log/kern.log.4.gz /var/log/lastlog /var/log/speech-dispatcher /var/log/syslog /var/log/syslog.1 /var/log/syslog.2.gz /var/log/syslog.3.gz /var/log/syslog.4.gz /var/log/syslog.5.gz /var/log/syslog.6.gz /var/log/syslog.7.gz /var/log/tallylog /var/log/unattended-upgrades /var/log/vbox-setup.log /var/log/vbox-setup.log.1 /var/log/vbox-setup.log.2 /var/log/vbox-setup.log.3 /var/log/vmware /var/log/vmware-installer /var/log/vnetlib /var/log/wpslog /var/log/wtmp /var/log/wtmp.1 /var/log/Xorg.0.log /var/log/Xorg.0.log.old .,1
