log message,log key,parameter value vector
Sep 16 09:49:02 gkr-pam: unlocked login keyring,E5,0
Sep 16 10:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1199
Sep 16 10:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 10:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 10:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 10:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 10:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 11:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1800
Sep 16 11:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 11:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 11:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 11:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 11:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 11:44:05 gkr-pam: unlocked login keyring,E5,304
Sep 16 12:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1496
Sep 16 12:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 12:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 12:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 12:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 12:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 12:51:26 gkr-pam: unlocked login keyring,E5,745
"Sep 16 12:54:51 asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",E20,205
"Sep 16 12:54:51 asked to register item /org/freedesktop/secrets/collection/login/1, but it's already registered",E20,0
Sep 16 12:55:15 [system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms),E1,24
Sep 16 13:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,826
Sep 16 13:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 13:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 13:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 13:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 13:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 14:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1800
Sep 16 14:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 14:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 14:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 14:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 14:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 14:43:56 gkr-pam: unlocked login keyring,E5,295
Sep 16 15:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1505
Sep 16 15:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 15:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 15:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 15:31:56 gkr-pam: unlocked login keyring,E5,895
Sep 16 15:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,425
Sep 16 15:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 16:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1800
Sep 16 16:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 16:10:45 gkr-pam: unlocked login keyring,E5,104
Sep 16 16:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,376
Sep 16 16:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 16:39:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1320
Sep 16 16:39:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 17:09:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,1800
Sep 16 17:09:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 17:17:01 pam_unix(cron:session): session opened for user root by (uid=0),E7,480
Sep 16 17:17:01 pam_unix(cron:session): session closed for user root,E43,0
Sep 16 17:26:40 System is powering down.,E0,579
Sep 17 09:47:18 New seat seat0.,E10,58838
Sep 17 09:47:18 Watching system buttons on /dev/input/event3 (Power Button),E37,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event0 (Power Button),E37,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event2 (Lid Switch),E37,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event1 (Sleep Button),E37,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event7 (Logitech USB Receiver),E6,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event9 (Logitech USB Receiver Consumer Control),E2,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event10 (Logitech USB Receiver System Control),E2,0
Sep 17 09:47:18 Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard),E2,0
Sep 17 09:47:20 pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0),E29,2
Sep 17 09:47:20 pam_unix(systemd-user:session): session opened for user gdm by (uid=0),E33,0
Sep 17 09:47:20 New session c1 of user gdm.,E8,0
"Sep 17 09:47:22 Registered Authentication Agent for unix-session:c1 (system bus name :1.25 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_GB.UTF-8)",E25,2
Sep 17 09:47:40 pam_unix(gdm-password:session): session opened for user intern by (uid=0),E18,18
Sep 17 09:47:40 New session 2 of user intern.,E8,0
