LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Sep,26,04:02:20,ns1,syslogd 1.4-0,,restart.,78996bdd,restart.
2,Sep,26,04:02:20,ns1,syslogd 1.4-0,,restart.,78996bdd,restart.
3,Sep,26,04:02:20,ns1,syslogd 1.4-0,,restart.,78996bdd,restart.
4,Sep,26,07:16:23,ns1,ftpd,26002,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
5,Sep,26,07:16:23,ns1,ftpd,26000,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
6,Sep,26,07:16:23,ns1,ftpd,26003,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
7,Sep,26,07:16:23,ns1,ftpd,25998,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
8,Sep,26,07:16:23,ns1,ftpd,25999,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
9,Sep,26,07:16:23,ns1,ftpd,25991,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
10,Sep,26,07:16:23,ns1,ftpd,25989,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
11,Sep,26,07:16:23,ns1,ftpd,25988,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
12,Sep,26,07:16:23,ns1,ftpd,25994,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
13,Sep,26,07:16:23,ns1,ftpd,26001,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
14,Sep,26,07:16:23,ns1,ftpd,25995,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
15,Sep,26,07:16:23,ns1,ftpd,25996,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
16,Sep,26,07:16:23,ns1,ftpd,25997,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
17,Sep,26,07:16:23,ns1,ftpd,25990,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
18,Sep,26,07:16:23,ns1,ftpd,25993,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
19,Sep,26,07:16:23,ns1,ftpd,26004,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
20,Sep,26,07:16:23,ns1,ftpd,25992,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
21,Sep,26,07:16:23,ns1,ftpd,26005,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
22,Sep,26,07:16:23,ns1,ftpd,26006,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
23,Sep,26,07:16:23,ns1,ftpd,26007,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
24,Sep,26,07:16:23,ns1,ftpd,26008,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
25,Sep,26,07:16:23,ns1,ftpd,26009,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
26,Sep,26,07:16:23,ns1,ftpd,26010,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
27,Sep,26,07:18:15,ns1,ftpd,25988,FTP session closed,3262681b,FTP session closed
28,Sep,26,07:19:11,ns1,ftpd,26000,FTP session closed,3262681b,FTP session closed
29,Sep,26,07:19:11,ns1,ftpd,25994,FTP session closed,3262681b,FTP session closed
30,Sep,26,07:19:11,ns1,ftpd,25999,FTP session closed,3262681b,FTP session closed
31,Sep,26,07:19:11,ns1,ftpd,26002,FTP session closed,3262681b,FTP session closed
32,Sep,26,07:19:11,ns1,ftpd,25995,FTP session closed,3262681b,FTP session closed
33,Sep,26,07:19:11,ns1,ftpd,25998,FTP session closed,3262681b,FTP session closed
34,Sep,26,07:19:11,ns1,ftpd,25996,FTP session closed,3262681b,FTP session closed
35,Sep,26,07:19:11,ns1,ftpd,25993,FTP session closed,3262681b,FTP session closed
36,Sep,26,07:19:11,ns1,ftpd,25997,FTP session closed,3262681b,FTP session closed
37,Sep,26,07:19:11,ns1,ftpd,26006,FTP session closed,3262681b,FTP session closed
38,Sep,26,07:19:11,ns1,ftpd,25990,FTP session closed,3262681b,FTP session closed
39,Sep,26,07:19:11,ns1,ftpd,26004,FTP session closed,3262681b,FTP session closed
40,Sep,26,07:19:11,ns1,ftpd,26003,FTP session closed,3262681b,FTP session closed
41,Sep,26,07:19:11,ns1,ftpd,26001,FTP session closed,3262681b,FTP session closed
42,Sep,26,07:19:12,ns1,ftpd,25989,FTP session closed,3262681b,FTP session closed
43,Sep,26,07:19:12,ns1,ftpd,25991,FTP session closed,3262681b,FTP session closed
44,Sep,26,07:19:12,ns1,ftpd,26007,FTP session closed,3262681b,FTP session closed
45,Sep,26,07:19:12,ns1,ftpd,26005,FTP session closed,3262681b,FTP session closed
46,Sep,26,07:19:12,ns1,ftpd,25992,FTP session closed,3262681b,FTP session closed
47,Sep,26,07:19:12,ns1,ftpd,26009,FTP session closed,3262681b,FTP session closed
48,Sep,26,07:19:12,ns1,ftpd,26008,FTP session closed,3262681b,FTP session closed
49,Sep,26,07:19:12,ns1,ftpd,26010,FTP session closed,3262681b,FTP session closed
