LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
2,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
3,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
4,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
5,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
6,Jul,18,04:02:07,ns1,syslogd 1.4-0,,restart.,140,restart.
7,Jul,18,11:12:02,ns1,ftpd,25459.0,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",200,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
8,Jul,18,11:12:27,ns1,ftpd,25459.0,FTP session closed,111,FTP session closed
9,Jul,19,10:46:38,ns1,telnetd,31320.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
10,Jul,19,10:48:00,ns1,telnetd,31322.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
11,Jul,19,10:48:00,ns1,telnetd,31323.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
12,Jul,19,10:52:35,ns1,telnetd,31351.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
13,Jul,19,10:55:31,ns1,telnetd,31353.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
14,Jul,19,10:57:01,ns1,telnetd,31356.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
15,Jul,19,10:58:05,ns1,telnetd,31358.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
16,Jul,19,11:01:30,ns1,telnetd,31377.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
17,Jul,19,11:02:31,ns1,telnetd,31379.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
18,Jul,19,11:02:45,ns1,telnetd,31381.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
19,Jul,19,11:03:12,ns1,telnetd,31383.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
20,Jul,19,11:03:58,ns1,telnetd,31385.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
21,Jul,19,11:04:32,ns1,telnetd,31387.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
22,Jul,19,11:04:37,ns1,telnetd,31389.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
23,Jul,19,11:04:49,ns1,telnetd,31391.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
24,Jul,19,11:07:07,ns1,telnetd,31354.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
25,Jul,19,11:11:30,ns1,telnetd,31395.0,ttloop: peer died: EOF,153,ttloop: peer died: EOF
26,Jul,19,11:18:04,ns1,telnetd,31352.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
27,Jul,19,12:02:09,ns1,telnetd,31382.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
28,Jul,19,12:46:39,ns1,telnetd,31321.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
29,Jul,19,12:55:33,ns1,telnetd,31386.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
30,Jul,19,12:58:07,ns1,telnetd,31359.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
31,Jul,19,12:59:16,ns1,telnetd,31324.0,ttloop: read: Connection timed out,209,ttloop: read: Connection timed out
32,Jul,19,12:59:16,ns1,telnetd,31325.0,ttloop: read: Connection timed out,209,ttloop: read: Connection timed out
33,Jul,19,13:01:31,ns1,telnetd,31378.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
34,Jul,19,13:13:47,ns1,telnetd,31380.0,ttloop: read: Connection timed out,209,ttloop: read: Connection timed out
35,Jul,19,13:15:48,ns1,telnetd,31388.0,ttloop: read: Connection timed out,209,ttloop: read: Connection timed out
36,Jul,19,13:15:52,ns1,telnetd,31390.0,ttloop: read: Connection timed out,209,ttloop: read: Connection timed out
37,Jul,19,13:47:28,ns1,telnetd,31392.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
38,Jul,19,14:00:55,ns1,telnetd,31357.0,ttloop: read: Connection reset by peer,35,ttloop: read: Connection reset by peer
