,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,log message,log key,record id,parameter value vector,seq_path,path_pred,para_pred,fin_res
0,0,0,0,0,0,0,0,0,0,0,2020-06-26 13:21:58 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,468037,"[9.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 17.0, 16.0, 16]",0,0,0
1,1,1,1,1,1,1,1,1,1,1,2020-06-26 13:21:49 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530780,[3.0],"[17.0, 16.0, 17.0, 16.0, 16.0, 12]",1,0,0
2,2,2,2,2,2,2,2,2,2,2,2020-06-26 13:21:52 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530781,"[0.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
3,3,3,3,3,3,3,3,3,3,3,2020-06-26 13:21:52 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530782,[3.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
4,4,4,4,4,4,4,4,4,4,4,2020-06-26 13:21:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530783,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 12.0, 6.0, 9.0, 17]",1,0,0
5,5,5,5,5,5,5,5,5,5,5,2020-06-26 13:21:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530784,"[0.0, 0.82045, 0.73645]","[16.0, 12.0, 6.0, 9.0, 17.0, 17]",0,0,0
6,6,6,6,6,6,6,6,6,6,6,2020-06-26 13:21:49 Special privileges assigned to new logon,Special privileges assigned to new logon,1530785,[0.0],"[12.0, 6.0, 9.0, 17.0, 17.0, 16]",0,0,0
7,7,7,7,7,7,7,7,7,7,7,2020-06-26 13:21:49 An account was successfully logged on,An account was successfully logged on,1530786,[0.0],"[6.0, 9.0, 17.0, 17.0, 16.0, 17]",0,0,0
8,8,8,8,8,8,8,8,8,8,8,2020-06-26 13:21:49 Group membership information,Group membership information,450581,[9.0],"[9.0, 17.0, 17.0, 16.0, 17.0, 16]",0,0,0
9,9,9,9,9,9,9,9,9,9,9,2020-06-26 13:21:58 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,468038,[0.0],"[17.0, 17.0, 16.0, 17.0, 16.0, 17]",0,0,0
10,10,10,10,10,10,10,10,10,10,10,2020-06-26 13:21:58 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,468039,[0.0],"[17.0, 16.0, 17.0, 16.0, 17.0, 16]",0,0,0
11,11,11,11,11,11,11,11,11,11,11,2020-06-26 13:21:58 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,450583,"[4.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 17.0, 16.0, 16]",0,0,0
