E10,E0,E23,E20,E9,E11,E18,E24,E19,E17,E8,E25,E4,E12,E3,E15,E7,E14,E5,E16,E2,E6,E21,E1,E13,E22
[0],"[51657, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",[4669],"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']","[1, ""'/udev/vcsa2'""]","[898, '02:23:10']",[4],[2],"[2878, '***']","[42633, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",[0],"[2194, '163.27.187.39', '163.27.187.39']",[6],[0],"[1, 'cyrus']","[0, 'rhost=unknown.sagonet.net', ' user=root']","[2161, '67.170.148.126']",[0],[18],"[0, 'rhost=under-eepc58.kaist.ac.kr']",[1],[5815],"[5624, 'cyrus', '(uid=0)']",[31587],"[0, ""'/udev/vcs2'""]"
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']","[0, ""'/udev/vcs2'""]",,[9],[2],,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[2, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",[5],,"[0, 'news']","[2, 'rhost=unknown.sagonet.net', ' user=root']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",[1],[1],"[352, 'news', '(uid=0)']",[0],"[0, ""'/udev/vcsa2'""]"
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']","[0, ""'/udev/vcs2'""]",,[7],[2],,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",[5],,"[160, 'test']","[1, 'rhost=unknown.sagonet.net', ' user=root']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",[4],[3],"[4282, 'test', '(uid=509)']",[2],"[0, ""'/udev/vcs2'""]"
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']","[0, ""'/udev/vcsa2'""]",,[8],[1],,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",[6],,"[1, 'cyrus']","[0, 'rhost=unknown.sagonet.net', ' user=root']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,[1],"[7299, 'cyrus', '(uid=0)']",[2],"[0, ""'/udev/vcsa2'""]"
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,[7],[1],,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",[6],,"[2, 'news']","[3867, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,[0],"[371, 'news', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,[7],[1],,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",[6],,"[1, 'cyrus']","[0, 'rhost=218.188.2.4', ' user=test']",,[2],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,[1],"[4040, 'cyrus', '(uid=0)']",[2],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",,,"[1, 'news']","[0, 'rhost=218.188.2.4', ' user=test']",,[0],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,[16197],"[360, 'news', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,"[0, '163.27.187.39', '163.27.187.39']",,,"[1, 'cyrus']","[1, 'rhost=218.188.2.4', ' user=test']",,[0],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,,"[7279, 'cyrus', '(uid=0)']",[3],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[1, 'news']","[0, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,,"[382, 'news', '(uid=0)']",[1],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[1, 'cyrus']","[3, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=under-eepc58.kaist.ac.kr']",,,"[29091, 'cyrus', '(uid=0)']",[0],
