E103,E85,E114,E88,E58,E44,E107,E101,E93,E27,E110,E52,E13,E90,E65,E108,E1,E35,E76,E39,E54,E84,E82,E98,E63,E29,E66,E48,E112,E94,E9,E4,E89,E38,E41,E31,E2,E51,E28,E111,E24,E5,E100,E30,E68,E109,E25,E61,E33,E20,E106,E49,E70,E113,E78,E77,E86,E56,E102,E8,E50,E79,E32,E6,E55,E11,E45,E95,E60,E10,E104,E46,E47,E81,E43,E74,E64,E72,E83,E19,E15,E34,E17,E116,E7,E0,E73,E117,E67,E97,E14,E91,E99,E59,E22,E53,E18,E42,E36,E115,E105,E37,E71,E69,E62,E3,E21,E75,E23,E96,E26,E92,E87,E12,E57,E16,E80,E40
"5,[192],[48],[159]","2161,[124]",9,"10635,[161],[245],[230],[302],[90]","0,[214]",0,"0,[143],[143]",1,0,"5,[149],[142]",0,"0,[46],[192]","0,[4, 1, 246]",5,0,4,"0,[149],[263]","0,[248],[231]",0,0,0,"0,[159],[248],[192]",1,0,"0,[248],[237]","5,[159]",0,0,0,"0,[174],[248],[220]","0,[184],[109]","0,[226],[69]","45369,[34]",2,0,"0,[104]","0,[149],[136],[29],[159]","0,[191]",0,"1,[295]",0,0,0,"0,[203]",0,"0,[255],[250]","0,[248]","0,[248],[159]","0,[272],[220]",0,"0,[248],[259]","0,[100]","0,[248]","0,[159],[142],[159]","0,[186]",0,"7279,[209],[248]","0,[113],[113]","3,[200],[248]","0,[64],[142],[106]",0,"0,[159]","0,[40]","0,[159]","0,[159],[48]","0,[248],[48]","0,[159],[149],[210],[310]","0,[159],[248],[248]",1,1,0,5,"0,[55],[248],[220]",1,0,"0,[5],[30],[248]",0,"0,[248]",0,"38937,[135]","0,[159],[19]","0,[96, 97],[126],[204],[63],[160],[148]",0,0,"0,[149],[248],[257]","57767,[256]","2194,[113],[113]",0,"0,[164]","0,[175],[263],[141]","0,[220],[159]",5,"0,[39],[89],[4, 1, 208]",0,"0,[158]","898,[98],[182, 2, 3]","2878,[],[157]","0,[149],[192],[290],[22],[263],[263],[201]",0,"0,[236],[213]","0,[1]","0,[91]",0,0,0,"1,[212]",0,0,0,5,24833,0,19788,"1,[209]",0,"0,[149]","0,[248],[189],[77]","0,[28]"
,,7,"0,[161],[245],[230],[302],[90]","0,[295]",,,1,,,,,,,,,,,,,,,,,,,,,,,,,"17012,[216]",2,,"0,[104]",,,,"0,[214]",,,,,,"0,[213],[27]",,,,0,,,,,,,"382,[122],[248]","2,[113],[113]",,,,,,,,,,,28791,,,,,,,,,,,"0,[135]",,,,,,"1,[256]","0,[113],[113]",0,,,,5,,,,,,,,"0,[27],[102]",,,,,,"0,[212]",,,,,0,,584,"1,[122]",,,,
,,8,"0,[161],[245],[230],[302],[90]","0,[214]",,,2,,,,,,,,,,,,,,,,,,,,,,,,,"0,[216]",1,,"0,[104]",,,,"0,[214]",,,,,,,,,,,,,,,,,"29091,[209],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,"0,[256]","0,[113],[113]",0,,,,6,,,,,,,,"0,[197],[68]",,,,,,,,,,,0,,495,"1,[209]",,,,
,,7,"0,[161],[245],[230],[302],[90]","0,[295]",,,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,[216]",1,,"0,[104]",,,,"0,[295]",,,,,,,,,,,,,,,,,"353,[122],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,"0,[256]","0,[113],[113]",0,,,,6,,,,,,,,,,,,,,,,,,,0,,499,"1,[122]",,,,
,,7,"0,[161],[245],[230],[302],[90]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,[216]",1,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"85635,[209],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,"0,[113],[113]",0,,,,6,,,,,,,,,,,,,,,,,,,,,1162,"1,[209]",,,,
,,16,"0,[161],[245],[230],[302],[90]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[216]",2,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"367,[122],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,"0,[113],[113]",0,,,,5,,,,,,,,,,,,,,,,,,,,,2335,"2,[122]",,,,
,,13324,"2,[161],[245],[230],[302],[74]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[216]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"2773,[50],[70]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,"0,[113],[113]",0,,,,,,,,,,,,,,,,,,,,,,,,,473,"331,[50]",,,,
,,,"2,[161],[245],[230],[302],[299]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"44697,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"6235,[209],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,"0,[113],[113]",0,,,,,,,,,,,,,,,,,,,,,,,,,530,"1,[209]",,,,
,,,"1209,[59],[8],[82],[92],[288]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"336,[122],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,579,"1,[122]",,,,
,,,"0,[59],[8],[82],[92],[288]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"86172,[209],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[135]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,505,"0,[209]",,,,
,,,"0,[59],[8],[82],[92],[288]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"367,[122],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"66050,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,531,"0,[122]",,,,
,,,"0,[59],[8],[82],[92],[288]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"1315,[209],[248]","0,[113],[113]",,,,,,,,,,,45,,,,,,,,,,,"0,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,987,"0,[209]",,,,
,,,"0,[59],[8],[82],[92],[288]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"1,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"342,[122],[248]","0,[113],[113]",,,,,,,,,,,1,,,,,,,,,,,"9,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,884,"1,[122]",,,,
,,,"1,[59],[8],[82],[92],[258]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[104]",,,,,,,,,,,,,,,,,,,,,"67609,[209],[248]","0,[113],[113]",,,,,,,,,,,9612,,,,,,,,,,,"1,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,463,"1,[209]",,,,
,,,"0,[59],[8],[82],[92],[258]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"364,[122],[248]","0,[113],[113]",,,,,,,,,,,0,,,,,,,,,,,"0,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3231,"1,[122]",,,,
,,,"2231,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,[268]",,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"2856,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"9,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2356,"1,[209]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"2,[268]",,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"342,[122],[248]",,,,,,,,,,,,1,,,,,,,,,,,"1,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[122]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"4214,[209],[248]",,,,,,,,,,,,1,,,,,,,,,,,"0,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"458,[122],[248]",,,,,,,,,,,,1,,,,,,,,,,,"6,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"16529,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"3,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"337,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"1,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[122]",,,,
,,,"0,[59],[8],[243],[154],[3]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"32947,[209],[248]",,,,,,,,,,,,1,,,,,,,,,,,"0,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[209]",,,,
,,,"1,[59],[8],[243],[154],[227]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"368,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"6,[128]",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"0,[59],[8],[243],[154],[227]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[130]",,,,,,,,,,,,,,,,,,,,,"31123,[209],[248]",,,,,,,,,,,,18715,,,,,,,,,,,"3,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[209]",,,,
,,,"0,[59],[8],[243],[154],[227]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[32]",,,,,,,,,,,,,,,,,,,,,"331,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"1,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,[122]",,,,
,,,"0,[59],[8],[243],[154],[227]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[32]",,,,,,,,,,,,,,,,,,,,,"85963,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"0,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"0,[59],[8],[243],[154],[227]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[32]",,,,,,,,,,,,,,,,,,,,,"367,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"4,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"1,[59],[8],[243],[154],[217]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[32]",,,,,,,,,,,,,,,,,,,,,"71856,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"2,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"0,[59],[8],[243],[154],[217]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[32]",,,,,,,,,,,,,,,,,,,,,"343,[122],[248]",,,,,,,,,,,,16552,,,,,,,,,,,"3,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"0,[59],[8],[243],[154],[217]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"2447,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"1,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"84341,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"377,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"0,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"47946,[209],[248]",,,,,,,,,,,,0,,,,,,,,,,,"4,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[209]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"347,[122],[248]",,,,,,,,,,,,0,,,,,,,,,,,"2,[128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[122]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"5006,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"69414,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"0,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"1,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"0,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"0,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[300]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,16526,,,,,,,,,,,"0,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[36]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"1,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
,,,"0,[195],[248],[276],[282],[249]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[36]",,,,,,,,,,,,,,,,,,,,,"0,[50],[70]",,,,,,,,,,,,0,,,,,,,,,,,"0,[260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,[50]",,,,
