E16,E47,E89,E73,E98,E114,E111,E37,E36,E91,E12,E59,E3,E80,E8,E109,E2,E85,E115,E26,E68,E45,E57,E30,E71,E99,E9,E60,E78,E77,E103,E32,E84,E102,E69,E39,E94,E66,E17,E81,E75,E25,E40,E92,E64,E70,E14,E87,E55,E1,E113,E10,E4,E0,E33,E46,E63,E110,E53,E88,E49,E97,E106,E93,E20,E86,E21,E15,E90,E117,E35,E7,E107,E13,E116,E52,E29,E31,E76,E51,E67,E50,E96,E100,E41,E43,E56,E108,E22,E54,E11,E61,E83,E34,E112,E62,E74,E105,E19,E79,E38,E28,E24,E65,E42,E23,E58,E5,E48,E101,E6,E72,E18,E95,E82,E104,E27,E44
[4],"[0, '80x25']","[0, '2']","[0, '0']","[0, '06']",[0],[0],"[0, '2', '0', '20020519']",[0],"[5, '6', '5', '1']",[0],"[0, '256K']","[0, '163.27.187.39', '163.27.187.39']","[0, '125312k/129720k', '1540k', '3860k', '599k', '144k', '0k']",[-5],"[0, '2', '6', '5-1', '358', '3', '3', '3 20040412', '3', '3', '3-7', '1', 'Sat May 8 09', '04', '50', '2004']",[0],"[57767, '212.0.132.20']","[45369, '211.46.224.253']","[3, 'root', '0']","[0, '16384', '4', '65536']","[0, '0MB']",[0],"[0, '2', '3']","[0, '28334', '6']","[0, '8192', '3', '32768']","[0, '0']","[0, '1024', '0', '4096']","[0, '0', '1']","[0, '0', '32430']",[5],"[0, '1', '4', '1']",[0],[9],[0],"[0, '1', '5']",[0],[0],"[0, '218.188.2.4']","[0, '1445', '88']","[0, '1', '0', '0']","[0, '8086', '2410', '0000:00:1f.0']","[0, '16K', '16K']",[1],[5],[0],"[5, '2', '4']","[0, '00']",[0],[0],"[0, '1', '0', '6']","[0, '2', '10', '0xfc0ce', '1']",[1],"[2194, '163.27.187.39', '163.27.187.39']","[1, 'cyrus']",[1],"[0, '0', '97']",[0],[2],[0],[-5],[1],"[0, '1']",[0],"[0, '2000']",[0],[19788],"[0, 'ffff3000']","[0, '731', '219']","[10635, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']","[0, '00000000000f0000', '0000000000100000']",[0],"[38937, '220-135-151-1.hinet-ip.hinet.net']",[0],[1],"[0, 'vcs2']",[0],[0],[0],"[0, '0000000000000000', '00000000000a0000']","[898, '900', 'Jun 18 02:23:10 2005']","[2878, '***', '1766']","[0, '512', '0', '4096']",[0],[0],[0],"[0, '0', '100']","[0, '0', '5']","[1, '84.102.20.2']",[0],[0],[0],[0],"[0, '0', '02345000', '02344000']","[0, '0000:00:1e.0']","[0, '16']","[0, '1']",[0],"[0, '9', '4096']",[24833],"[0, '4096', '1']","[0, '0']",[0],"[-5, '1']",[0],"[0, '1', '12']","[1, 'vcsa2']",[0],"[0, '126MB']","[7279, 'cyrus', '0']",[0],[0],[0],"[0, '1122475266', '4294965305', '0']","[0, '1', '2', '0x03', '1.16ac']","[2161, '67.170.148.126']",[0],"[0, '20040326']"
,,,,,,[0],,,,,,"[2, '163.27.187.39', '163.27.187.39']",,,,,"[1, '212.0.132.20']","[17012, '217.60.212.66']",,,,,,,,,,,,[5],,,[7],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[1, 'news']",,,,[2],,,[1],,,,,[584],,,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']","[0, '0000000007eae000', '0000000008000000']",,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[28791],"[0, 'vcsa2']",,[0],,"[0, '0000000000100000', '0000000007eae000']",,,,,,,,,"[0, '84.102.20.2']",,,,,,,,,,,[0],,,,,,,"[0, 'vcs2']",,,"[382, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,"[0, '212.0.132.20']","[0, '217.60.212.66']",,,,,,,,,,,,[6],,,[8],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[1, 'cyrus']",,,,[1],,,[2],,,,,[495],,,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']","[0, '00000000ffb00000', '0000000100000000']",,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],"[0, 'vcs2']",,,,,,,,,,,,,,,,,,,,,,,,[0],,,,,,,"[0, 'vcs2']",,,"[29091, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,"[0, '212.0.132.20']","[0, '217.60.212.66']",,,,,,,,,,,,[6],,,[7],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[1, 'news']",,,,[1],,,[0],,,,,[499],,,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],"[0, 'vcsa2']",,,,,,,,,,,,,,,,,,,,,,,,[0],,,,,,,"[0, 'vcsa2']",,,"[353, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '217.60.212.66']",,,,,,,,,,,,[6],,,[7],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[1, 'cyrus']",,,,[1],,,[0],,,,,[1162],,,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[85635, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '217.60.212.66']",,,,,,,,,,,,[5],,,[16],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[2, 'news']",,,,[2],,,[1],,,,,[2335],,,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[367, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '217.60.212.66']",,,,,,,,,,,,,,,[13324],,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[331, 'test']",,,,,,,[1],,,,,[473],,,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '02 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2773, 'test', '509']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[44697, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,"[0, '163.27.187.39', '163.27.187.39']","[1, 'cyrus']",,,,,,,[1],,,,,[530],,,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '04 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6235, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,[579],,,"[1209, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[336, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[0, 'cyrus']",,,,,,,[0],,,,,[505],,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",,,"[0, '220-135-151-1.hinet-ip.hinet.net']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[86172, 'cyrus', '0']",,,,,,,,
