log message,log key,parameter value vector
Jun 11 09:46:45 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=unknown.sagonet.net', ' user=root']"
Jun 11 09:46:47 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[2, 'rhost=unknown.sagonet.net', ' user=root']"
Jun 11 09:46:48 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[1, 'rhost=unknown.sagonet.net', ' user=root']"
Jun 11 09:46:48 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=unknown.sagonet.net', ' user=root']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[51657, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
