log message,log key,parameter value vector,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
Jun 14 15:16:01 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 14 15:16:02 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 14 15:16:02 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[38937, '220-135-151-1.hinet-ip.hinet.net']",38937,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,2201351511hinetiphinetnet,,,,,,,,,,,,,,
Jun 15 04:06:18 session opened for user cyrus by (uid=0),E86,"[7279, 'cyrus', '0']",7279,cyrus,0,,,,,,,,,,,,,
Jun 15 04:06:19 session closed for user cyrus,E12,"[1, 'cyrus']",1,cyrus,,,,,,,,,,,,,,
Jun 15 04:06:20 ALERT exited abnormally with [1],E101,[1],1,,,,,,,,,,,,,,,
Jun 15 04:12:42 session opened for user news by (uid=0),E86,"[382, 'news', '0']",382,news,0,,,,,,,,,,,,,
Jun 15 04:12:43 session closed for user news,E12,"[1, 'news']",1,news,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[28791],28791,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:13:19 check pass; user unknown,E60,[45],45,,,,,,,,,,,,,,,
Jun 15 12:13:19 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 12:13:20 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 15 12:13:20 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E31,"[0, '218.188.2.4']",0,21818824,,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E60,[9612],9612,,,,,,,,,,,,,,,
