log message,log key,parameter value vector,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
Jun 14 15:16:01 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 14 15:16:02 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 14 15:16:02 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[38937, '220-135-151-1.hinet-ip.hinet.net']",38937,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
