log message,log key,parameter value vector
Jun 11 09:46:45 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,E7,"0,[1, 129],[47, 57]"
Jun 11 09:46:47 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,E7,"2,[1, 129],[47, 57]"
Jun 11 09:46:48 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,E7,"1,[1, 129],[47, 57]"
Jun 11 09:46:48 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,E7,"0,[1, 129],[47, 57]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"51657,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,E0,"0,[144],[32],[59],[175],[2],[19, 9, 42]"
